------------------------------------------------------------------------------------------------------------------
px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.43815	-5.24663	-2.91501	2.18728	0.37577	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	16.8639
7.52705	-5.37635	-2.91698	2.20438	0.370896	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0.561745
7.58836	-5.53322	-2.8751	2.17488	0.297627	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	5.36151
7.67509	-5.66022	-2.86867	2.19001	0.296224	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.0512736
7.7283	-5.79779	-2.73311	2.16708	0.239429	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	3.70796
7.8063	-5.91836	-2.72545	2.17736	0.235816	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0.304725
7.90552	-6.0971	-3.38727	2.16876	0.207152	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	6.18632
7.9969	-6.23399	-3.38031	2.17757	0.20526	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0.0817916
8.07654	-6.36177	-2.9675	2.17813	0.188378	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	2.55595
8.16606	-6.49077	-2.9534	2.18849	0.18883	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.0734065
8.23163	-6.61391	-2.7631	2.18088	0.162996	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.40844
8.31241	-6.73418	-2.75238	2.18753	0.160183	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0.174736
8.38794	-6.86711	-2.80411	2.18142	0.139232	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.8106
8.47056	-6.98739	-2.78747	2.18828	0.138662	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.0816788
8.53023	-7.10372	-2.73042	2.17667	0.112434	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	1.13327
8.60374	-7.21409	-2.7267	2.18003	0.109487	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0.18144
