std_yawdd	std_a	rmse(0)	rmse(1)	rmse(2)	rmse(3)	NIS_radar	NIS_lidar
0.4	5.2	0.0736688	0.054779	0.531898	0.537247	0.70098	0.813725
0.4	5.3	0.0736877	0.0548205	0.531216	0.537887	0.702614	0.813725
0.4	5.4	0.0737093	0.0548627	0.530559	0.538554	0.704248	0.813725
0.4	5.5	0.0737335	0.0549055	0.529928	0.539246	0.704248	0.815359
0.4	5.6	0.0737605	0.054949	0.529322	0.539963	0.704248	0.818627
0.4	5.7	0.0737899	0.0549931	0.52874	0.540703	0.705882	0.816993
0.4	5.8	0.0738217	0.0550377	0.528183	0.541467	0.705882	0.816993
0.4	5.9	0.0738554	0.0550828	0.527648	0.542253	0.705882	0.816993
0.4	6	0.0738915	0.0551284	0.527136	0.54306	0.707516	0.818627
