std_yawdd	std_a	rmse(0)	rmse(1)	rmse(2)	rmse(3)	NIS_radar	NIS_lidar
0.3	0.5	0.184332	0.168554	0.242283	0.29137	0.93	0.82
0.3	0.6	0.184433	0.168708	0.263081	0.293116	0.93	0.83
0.3	0.7	0.18474	0.168826	0.283871	0.295168	0.93	0.83
0.3	0.8	0.185128	0.168927	0.303526	0.29748	0.93	0.82
0.3	0.9	0.185535	0.169017	0.321515	0.299912	0.94	0.81
0.3	1	0.185933	0.1691	0.33768	0.302298	0.95	0.81
0.3	1.1	0.186308	0.169177	0.352041	0.304538	0.95	0.81
0.4	0.2	0.199215	0.16934	0.242406	0.345216	0.87	0.82
0.4	0.3	0.193351	0.169668	0.227281	0.346136	0.89	0.84
0.4	0.4	0.191143	0.170107	0.232372	0.351087	0.91	0.86
0.4	0.5	0.190244	0.170383	0.245664	0.354856	0.9	0.85
0.4	0.6	0.189917	0.170542	0.262882	0.355553	0.91	0.85
0.4	0.7	0.189863	0.170624	0.28167	0.35543	0.92	0.84
0.4	0.8	0.189942	0.170665	0.300395	0.357098	0.92	0.83
0.4	0.9	0.190085	0.170707	0.318247	0.360869	0.93	0.83
0.4	1	0.190269	0.170765	0.334844	0.365156	0.93	0.82
0.4	1.1	0.190477	0.170834	0.350013	0.369144	0.93	0.82
0.4	1.2	0.19069	0.170904	0.36375	0.3727	0.93	0.81
0.5	0.3	0.198462	0.170724	0.253486	0.412296	0.89	0.86
0.5	0.4	0.196152	0.170459	0.249471	0.419432	0.91	0.87
0.5	0.5	0.19496	0.170605	0.258709	0.428657	0.9	0.85
0.5	0.6	0.194375	0.170641	0.27243	0.433233	0.91	0.85
0.5	0.7	0.194752	0.192305	0.319115	0.404494	0.86	0.84
